Station	Date	lon	lat	DIN (¦Ìmol/L)	DIP (¦Ìmol/L)	DSi (¦Ìmol/L)	Temperature (¡ãC)	Chlorophyll a (mg m-3)	Salinity	¡÷O2/Ar (%)	NCP (mmol C m-2 d-1)
E2	2017/7/13	120.50 	21.00 	0.68 	0.06 	0.36 	30.78 	0.05 	33.55 	0.4 	1.4 
F2	2017/7/14	123.00 	22.00 	0.68 	0.00 	0.34 	31.01 	0.04 	34.36 	0.4 	1.4 
E1	2017/7/18	119.60 	21.00 	0.41 	0.03 	0.44 	30.22 	0.06 	33.75 	0.6 	2.6 
D4	2017/7/20	118.08 	20.84 	0.69 	0.09 	0.61 	30.03 	0.07 	33.74 	0.9 	2.2 
											
											
C3	2017/7/21	117.42 	20.05 	0.96 	0.05 	1.30 	30.03 	0.06 	33.76 	1.4 	3.2 
C4	2017/7/22	118.00 	19.50 	1.36 	0.05 	1.25 	30.05 	0.05 	33.67 	1.4 	2.7 
B4	2017/7/22	117.00 	19.00 	1.34 	0.02 	1.31 	29.85 	0.07 	33.74 	1.6 	5.2 
B3	2017/7/22	116.50 	19.50 	1.11 	0.10 	1.77 	29.49 	0.07 	33.70 	1.9 	6.9 
B2	2017/7/23	116.05 	20.05 	1.19 	0.27 	1.55 	29.18 	0.08 	33.60 	1.9 	7.4 
B1	2017/7/23	115.68 	20.52 	1.71 	0.06 	1.46 	29.32 	0.07 	34.10 	1.6 	5.7 
A1	2017/7/24	115.00 	19.00 	1.17 	0.01 	1.51 	29.25 	0.08 	33.84 	1.5 	7.4 
A9	2017/7/24	116.00 	19.00 	1.35 	0.02 	2.24 	29.42 	0.08 	33.37 	1.4 	5.9 
A10	2017/7/24	116.76 	18.51 	1.86 	0.08 	1.88 	29.73 	0.06 	33.49 	1.3 	4.8 
A11	2017/7/25	117.00 	18.00 	0.91 	0.03 	1.31 	29.65 	0.06 	33.61 	1.2 	4.6 
											
											
A4	2017/8/3	115.09 	16.00 	2.58 	0.43 	1.61 	28.95 	0.11 	33.50 	1.8 	12.5 
DC6	2017/8/4	114.80 	15.17 	3.91 	0.03 	2.39 	29.06 	0.11 	33.30 	2.0 	14.6 
A13	2017/8/6	117.05 	16.05 	2.83 	0.04 	2.03 	28.99 	0.12 	33.19 	2.4 	13.8 
