Time	Longitude	Latitude	Temperature (¡ãC)	Chlorophyll a (mg m-3)	Salinity	¡÷O2/Ar (%)	k (m d-1)	NCP (mmol C m-2 d-1)		
2017/7/13 6:05	120.48 	21.01 	30.70 	0.05 	33.53 	0.4 	2.4 	1.3 		
2017/7/13 6:10	120.49 	21.01 	30.71 	0.06 	33.54 	0.4 	2.4 	1.4 		
2017/7/13 6:15	120.50 	21.00 	30.72 	0.05 	33.55 	0.3 	2.4 	1.2 		
2017/7/13 10:50	120.38 	21.05 	30.86 	0.05 	33.56 	0.5 	2.4 	1.8 		
2017/7/13 10:55	120.38 	21.05 	30.84 	0.05 	33.56 	0.3 	2.4 	1.2 		
2017/7/13 11:00	120.40 	21.06 	30.82 	0.05 	33.56 	0.6 	2.4 	2.0 		
2017/7/13 11:05	120.41 	21.06 	30.82 	0.05 	33.56 	0.7 	2.4 	2.2 		
2017/7/13 11:10	120.43 	21.05 	30.78 	0.04 	33.56 	0.8 	2.4 	2.6 		
2017/7/13 11:15	120.44 	21.05 	30.76 	0.05 	33.57 	0.7 	2.4 	2.3 		
2017/7/13 11:20	120.46 	21.05 	30.75 	0.05 	33.60 	0.7 	2.4 	2.5 		
2017/7/13 11:25	120.47 	21.05 	30.75 	0.05 	33.63 	0.7 	2.4 	2.4 		
2017/7/13 11:30	120.48 	21.05 	30.74 	0.05 	33.68 	0.6 	2.4 	2.0 		
2017/7/13 11:35	120.50 	21.05 	30.69 	0.05 	33.81 	0.7 	2.4 	2.4 		
2017/7/13 11:40	120.51 	21.05 	30.60 	0.04 	33.93 	0.8 	2.4 	2.7 		
2017/7/13 11:45	120.53 	21.05 	30.47 	0.03 	33.99 	0.6 	2.4 	2.0 		
2017/7/13 11:50	120.54 	21.05 	30.36 	0.04 	34.02 	0.6 	2.4 	2.0 		
2017/7/13 11:55	120.56 	21.06 	30.28 	0.06 	34.05 	0.7 	2.4 	2.4 		
2017/7/13 12:00	120.57 	21.06 	30.28 	0.07 	34.07 	0.6 	2.4 	2.0 		
2017/7/13 12:05	120.59 	21.07 	30.36 	0.09 	34.08 	0.3 	2.4 	0.9 		
2017/7/13 12:10	120.60 	21.07 	30.45 	0.10 	34.07 	0.1 	2.4 	0.3 		
2017/7/13 12:15	120.62 	21.08 	30.53 	0.10 	34.04 	0.0 	2.4 	-0.1 		
2017/7/13 12:20	120.63 	21.08 	30.60 	0.09 	33.99 	-0.1 	2.6 	-0.2 		
2017/7/13 12:25	120.65 	21.09 	30.64 	0.08 	33.94 	0.0 	2.6 	-0.1 		
2017/7/13 12:30	120.66 	21.09 	30.67 	0.07 	33.88 	0.0 	2.6 	0.1 		
2017/7/13 12:35	120.67 	21.10 	30.67 	0.05 	33.85 	0.0 	2.6 	0.0 		
2017/7/13 12:40	120.69 	21.10 	30.69 	0.06 	33.85 	0.1 	2.6 	0.5 		
2017/7/13 12:45	120.70 	21.11 	30.68 	0.05 	33.87 	0.2 	2.6 	0.6 		
2017/7/13 12:50	120.72 	21.11 	30.66 	0.05 	33.90 	0.3 	2.6 	1.0 		
2017/7/13 12:55	120.73 	21.12 	30.63 	0.05 	33.93 	0.3 	2.6 	1.1 		
2017/7/13 13:00	120.74 	21.12 	30.63 	0.06 	34.00 	0.3 	2.6 	1.1 		
2017/7/13 13:05	120.76 	21.13 	30.66 	0.06 	34.09 	0.4 	2.7 	1.6 		
2017/7/13 13:10	120.77 	21.13 	30.70 	0.07 	34.18 	0.5 	2.7 	1.9 		
2017/7/13 13:15	120.78 	21.14 	30.75 	0.07 	34.24 	0.4 	2.7 	1.6 		
2017/7/13 13:20	120.80 	21.14 	30.78 	0.07 	34.27 	0.5 	2.7 	1.8 		
2017/7/13 13:25	120.81 	21.15 	30.78 	0.06 	34.28 	0.6 	2.7 	2.2 		
2017/7/13 13:30	120.83 	21.16 	30.77 	0.05 	34.29 	0.7 	2.7 	2.4 		
2017/7/13 13:35	120.84 	21.16 	30.78 	0.05 	34.30 	0.7 	2.7 	2.6 		
2017/7/13 13:40	120.85 	21.17 	30.79 	0.05 	34.31 	0.5 	2.7 	1.9 		
2017/7/13 13:45	120.87 	21.17 	30.78 	0.05 	34.30 	0.6 	2.7 	2.3 		
2017/7/13 13:50	120.88 	21.18 	30.70 	0.04 	34.29 	0.6 	2.8 	2.3 		
2017/7/13 13:55	120.90 	21.18 	30.65 	0.05 	34.29 	0.7 	2.8 	2.7 		
2017/7/13 14:00	120.91 	21.18 	30.68 	0.06 	34.30 	0.4 	2.8 	1.4 		
2017/7/13 14:05	120.93 	21.19 	30.71 	0.07 	34.29 	0.4 	2.8 	1.4 		
2017/7/13 14:10	120.94 	21.19 	30.75 	0.07 	34.30 	0.3 	2.8 	1.2 		
2017/7/13 14:15	120.96 	21.20 	30.77 	0.06 	34.29 	0.4 	2.8 	1.5 		
2017/7/13 14:20	120.97 	21.20 	30.78 	0.05 	34.29 	0.4 	2.8 	1.4 		
2017/7/13 14:25	120.98 	21.21 	30.79 	0.05 	34.29 	0.4 	2.8 	1.7 		
2017/7/13 14:30	121.00 	21.21 	30.79 	0.06 	34.29 	0.4 	2.8 	1.5 		
2017/7/13 14:35	121.01 	21.22 	30.79 	0.05 	34.30 	0.2 	2.8 	0.9 		
2017/7/13 14:40	121.03 	21.22 	30.79 	0.05 	34.31 	0.2 	2.8 	0.8 		
2017/7/13 14:45	121.04 	21.22 	30.77 	0.05 	34.30 	0.1 	2.8 	0.4 		
2017/7/13 14:50	121.06 	21.23 	30.71 	0.04 	34.30 	0.2 	2.8 	0.7 		
2017/7/13 14:55	121.07 	21.24 	30.66 	0.04 	34.30 	0.2 	2.8 	0.6 		
2017/7/13 15:00	121.09 	21.24 	30.62 	0.04 	34.30 	0.1 	2.8 	0.5 		
2017/7/13 15:05	121.10 	21.25 	30.58 	0.05 	34.30 	0.2 	2.8 	0.9 		
2017/7/13 15:10	121.11 	21.26 	30.55 	0.05 	34.33 	0.2 	2.8 	0.9 		
2017/7/13 15:15	121.13 	21.26 	30.57 	0.06 	34.33 	0.1 	2.8 	0.6 		
2017/7/13 15:20	121.14 	21.27 	30.59 	0.07 	34.33 	0.2 	2.8 	0.6 		
2017/7/13 15:25	121.16 	21.27 	30.63 	0.08 	34.33 	0.2 	2.8 	0.7 		
2017/7/13 15:30	121.17 	21.28 	30.67 	0.07 	34.33 	0.1 	2.8 	0.5 		
2017/7/13 15:35	121.19 	21.28 	30.70 	0.07 	34.32 	0.1 	2.8 	0.6 		
2017/7/13 15:40	121.21 	21.29 	30.74 	0.07 	34.32 	0.1 	2.8 	0.6 		
2017/7/13 15:45	121.22 	21.29 	30.75 	0.06 	34.32 	0.2 	2.8 	0.7 		
